"","headline","url","date_time"
"1","Україну накриють снігопади, вдарить мороз: погода, карта","https://ua-news.liga.net/society/news/ukrainu-nakriyut-snigopadi-vdarit-moroz-pogoda-karta","2019-02-20 15:05:14"
"2","Депутату Радикальної партії дали 10 років за вбивство свободівця","https://ua-news.liga.net/politics/news/deputatu-radikalnoi-partii-dali-10-rokiv-za-vbivstvo-svobodivtsya","2019-02-20 14:53:46"
"3","Грип в Україні: МОЗ назвало кількість летальних випадків","https://ua-news.liga.net/society/news/grip-v-ukraini-moz-nazvalo-kilkist-letalnih-vipadkiv","2019-02-20 13:27:38"
"4","Заробив на 9 квартир: полковник НПУ продавав дані колекторам","https://ua-news.liga.net/cryminal/video/zarobiv-na-9-kvartir-polkovnik-npu-prodavav-dani-kolektoram","2019-02-20 13:17:48"
"5","Скільки силовиків зрадили Україну: статистика","https://ua-news.liga.net/politics/news/skilki-silovikiv-zradili-ukrainu-statistika","2019-02-20 12:58:37"
"6","На Сицилії прокинувся найактивніший вулкан Європи: відео","https://ua-news.liga.net/world/video/na-sitsilii-prokinuvsya-nayaktivnishiy-vulkan-evropi-video","2019-02-20 12:48:12"
"7","Три партії заводять у Раду більшість депутатів: центр Разумкова","https://ua-news.liga.net/politics/news/tri-partii-zavodyat-u-radu-bilshist-deputativ-tsentr-razumkova","2019-02-20 12:30:26"
"8","Другий тур. Шанси є у трьох кандидатів - центр Разумкова","https://ua-news.liga.net/politics/news/drugiy-tur-shansi-e-u-troh-kandidativ---tsentr-razumkova","2019-02-20 11:47:39"
"9","Вийшов трейлер скандального фільму HBO про Майкла Джексона: відео","https://ua-news.liga.net/culture/video/viyshov-treyler-skandalnogo-filmu-hbo-pro-maykla-djeksona-video","2019-02-20 10:56:28"
"10","Суперважкоатлети-боксери Джошуа й Міллер ледь не побилися: відео","https://ua-news.liga.net/sport/video/supervajkoatleti-bokseri-djoshua-y-miller-led-ne-pobilisya-video","2019-02-20 10:29:43"
"11","Названо причину смерті кутюр'є Лагерфельда","https://ua-news.liga.net/culture/news/nazvano-prichinu-smerti-kutyure-lagerfelda","2019-02-20 09:48:09"
"12","Річниця Дебальцевської операції: повний список загиблих","https://ua-news.liga.net/politics/video/richnitsya-debaltsevskoi-operatsii-povniy-spisok-zagiblih","2019-02-19 17:58:35"
"13","Марчук сказав, як проходять переговори з Гризловим у Мінську","https://ua-news.liga.net/politics/news/marchuk-skazav-yak-prohodyat-peregovori-z-grizlovim-u-minsku","2019-02-19 17:43:12"
"14","Глава МЗС Литви розкритикував ""азовські"" санкції ЄС проти РФ","https://ua-news.liga.net/politics/news/glava-mzs-litvi-rozkritikuvav-azovski-sanktsii-es-proti-rf","2019-02-19 17:14:59"
"15","Туск українською в Раді: Хто продає Україну, той продає Європу","https://ua-news.liga.net/politics/news/tusk-ukrainskoyu-v-radi-hto-prodae-ukrainu-toy-prodae-evropu","2019-02-19 16:34:03"
"16","Порошенко озвучив втрати військових у Донбасі","https://ua-news.liga.net/cryminal/news/poroshenko-ozvuchiv-vtrati-viyskovih-u-donbasi","2019-02-19 16:20:45"
"17","Повітряні сили назвали дані ОБСЄ про літак біля Донецька фейком","https://ua-news.liga.net/cryminal/news/povitryani-sili-nazvali-dani-obse-pro-litak-bilya-donetska-feykom","2019-02-19 16:00:22"
"18","Валерій Пекар: Прийшов час змінити локацію ""КиївЕкспоПлаза""","https://ua-news.liga.net/all/news/valeriy-pekar-priyshov-chas-zminiti-lokatsiyu-kiivekspoplaza","2019-02-19 14:55:00"
"19","У Китаї обвалився міст через річку, туристи зависли в повітрі","https://ua-news.liga.net/world/video/u-kitai-obvalivsya-mist-cherez-richku-turisti-zavisli-v-povitri","2019-02-19 14:51:11"
"20","Помер культовий модельєр Карл Лагерфельд","https://ua-news.liga.net/world/news/pomer-kultoviy-modeler-karl-lagerfeld","2019-02-19 14:36:16"
"21","До 300 пострілів артилерії за добу: бойовики накривають Приазов'я","https://ua-news.liga.net/cryminal/news/do-300-postriliv-artilerii-za-dobu-boyoviki-nakrivayut-priazovya","2019-02-19 14:29:09"
"22","Туск - українцям: Не нанесіть собі непоправної шкоди на виборах","https://ua-news.liga.net/politics/news/tusk---ukraintsyam-ne-nanesit-sobi-nepopravnoi-shkodi-na-viborah","2019-02-19 14:10:10"
"23","""Потрібна перша кров"": СБУ виклала переговори ""Білої балаклави""","https://ua-news.liga.net/politics/video/potribna-persha-krov-sbu-viklala-peregovori-biloi-balaklavi","2019-02-19 13:40:08"
"24","Прибуткові гривневі вклади: особливості роботи інвестфондів","https://ua-news.liga.net/all/news/pributkovi-grivnevi-vkladi-osoblivosti-roboti-investfondiv","2019-02-19 13:28:00"
"25","Україна та ОАЕ розробили новий БТР: фото, відео","https://ua-news.liga.net/economics/video/ukraina-ta-oae-rozrobili-noviy-btr-foto-video","2019-02-19 13:24:44"
"26","""Біла балаклава"" створювала умови для вторгнення армії РФ - СБУ","https://ua-news.liga.net/politics/news/bila-balaklava-stvoryuvala-umovi-dlya-vtorgnennya-armii-rf---sbu","2019-02-19 13:17:03"
"27","Укргазбанк впроваджує послугу «Експрес-гарантії»","https://ua-news.liga.net/all/news/ukrgazbank-vprovadjue-poslugu-ekspres-garantii","2019-02-19 13:03:00"
"28","РФ перейшла до активної фази повернення України - СБУ","https://ua-news.liga.net/politics/news/rf-pereyshla-do-aktivnoi-fazi-povernennya-ukraini---sbu","2019-02-19 12:11:11"
"29","Сьогодні в Україні відзначають День герба: історія свята","https://ua-news.liga.net/society/news/sogodni-v-ukraini-vidznachayut-den-gerba-istoriya-svyata","2019-02-19 11:36:39"
"30","Вакарчук розповів про відносини з олігархами","https://ua-news.liga.net/politics/news/vakarchuk-rozpoviv-pro-vidnosini-z-oligarhami","2019-02-19 10:49:35"
"31","У Києві біля Севастопольської площі провалився асфальт","https://ua-news.liga.net/kiev/news/u-kievi-bilya-sevastopolskoi-ploschi-provalivsya-asfalt","2019-02-19 10:36:43"
"32","Євросоюз затвердив ""азовські"" санкції проти Росії","https://ua-news.liga.net/politics/news/evrosoyuz-zatverdiv-azovski-sanktsii-proti-rosii","2019-02-18 18:04:31"
"33","Зв'язки з бойовиками. На блокпосту затримано священика УПЦ МП","https://ua-news.liga.net/politics/video/zvyazki-z-boyovikami-na-blokpostu-zatrimano-svyaschenika-upts-mp","2019-02-18 17:34:01"
"34","План атаки на церкви в Україні розробив колишній співробітник СБУ","https://ua-news.liga.net/politics/news/plan-ataki-na-tserkvi-v-ukraini-rozrobiv-kolishniy-spivrobitnik-sbu","2019-02-18 17:00:52"
"35","Хто захопив кораблі ЗСУ в Криму: встановлено особи","https://ua-news.liga.net/politics/news/hto-zahopiv-korabli-zsu-v-krimu-vstanovleno-osobi","2019-02-18 16:39:27"
